,id,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id.1,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,label,avg_sentence_length,avg_word_length,characer_count,is_quoted_retweet,number_all_caps,random_caps,is_mention,comma,period,semicolon,colon,qmark,emark,asterisk,ellipsis,period_of_day,weekday,starts_with_I,crooked,sleepy,dishonest,irrelevant,hypocrite,fake,racist,anti-semitic,hater,disgraced,terrible,nasty,lying,lightweight,wacky,neurotic,nut job,nutjob,dope,clown,dummy,sad,disaster,little,crying,no clue,stupid,loser,dying,failed,failing,weak,crazy,phony,media,overrated,wow,begged,beg,dirty,fraud,bimbo,enjoy,hillary,jeb,ted,biden,obama,pocahontas,puppet,lyin,corrupt,dopey,sloppy,low iq,low i.q.,psycho,goofball,lowlife,slippery,@barackobama,(we),make america great again,makeamericagreatagain,maga,#trump,democrat,foxnews,cnn,msnbc,fakenews,fake news,clinton,americafirst,america first,trump,make america safe again,@realdonaldtrump,a.m.,p.m.,join me,neg,neu,pos,compound,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
0,0,Senior United States District Judge Robert E. Payne today ruled in favor of Trump campaign delegates who had argued..https://t.co/qVwfjgCHU7,False,14207,,7/12/2016 0:56,False,,752668000000000000,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,5256,False,False,,,-1,5.25,6.2105263157894735,139,0,0,7,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.756,0.244,1.6705,"11205   NaN
Name: anger, dtype: float64","11205   NaN
Name: anticipation, dtype: float64","11205   NaN
Name: disgust, dtype: float64","11205   NaN
Name: fear, dtype: float64","11205   NaN
Name: joy, dtype: float64","11205   NaN
Name: negative, dtype: float64","11205   NaN
Name: positive, dtype: float64","11205   NaN
Name: sadness, dtype: float64","11205   NaN
Name: surprise, dtype: float64","11205   NaN
Name: trust, dtype: float64"
1,1,Speech on Veterans' Reform:  https://t.co/XB7RMwesMK,False,9666,,7/11/2016 22:18,False,,752628000000000000,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,3432,False,False,,,-1,3.0,9.2,51,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,"11813   NaN
Name: anger, dtype: float64","11813   NaN
Name: anticipation, dtype: float64","11813   NaN
Name: disgust, dtype: float64","11813   NaN
Name: fear, dtype: float64","11813   NaN
Name: joy, dtype: float64","11813   NaN
Name: negative, dtype: float64","11813   NaN
Name: positive, dtype: float64","11813   NaN
Name: sadness, dtype: float64","11813   NaN
Name: surprise, dtype: float64","11813   NaN
Name: trust, dtype: float64"
2,2,Great poll- Florida! Thank you! https://t.co/4FuPpL5WOM,False,25531,,7/11/2016 21:40,False,,752619000000000000,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,8810,False,False,,,-1,1.75,7.833333333333333,54,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.358,0.642,1.8011,0,0,0,0,0,0,0,0,0,0
3,3,Thoughts and prayers with the victims; and their families- along with everyone at the Berrien County Courthouse in St. Joseph; Michigan.,False,28850,,7/11/2016 19:51,False,,752591000000000000,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,9112,False,False,,,-1,10.5,5.428571428571429,135,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103,0.897,0.0,0.6818,"12729   NaN
Name: anger, dtype: float64","12729   NaN
Name: anticipation, dtype: float64","12729   NaN
Name: disgust, dtype: float64","12729   NaN
Name: fear, dtype: float64","12729   NaN
Name: joy, dtype: float64","12729   NaN
Name: negative, dtype: float64","12729   NaN
Name: positive, dtype: float64","12729   NaN
Name: sadness, dtype: float64","12729   NaN
Name: surprise, dtype: float64","12729   NaN
Name: trust, dtype: float64"
4,4,Join me in Westfield; Indiana- tomorrow night at 7:30pm! #Trump2016   Tickets: https://t.co/Jj9TmSEoOd https://t.co/Rq6YRHlpib,False,12567,,7/11/2016 11:57,False,,752472000000000000,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,4144,False,False,,,-1,3.75,8.384615384615385,125,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.828,0.172,1.3595,"6974   NaN
Name: anger, dtype: float64","6974   NaN
Name: anticipation, dtype: float64","6974   NaN
Name: disgust, dtype: float64","6974   NaN
Name: fear, dtype: float64","6974   NaN
Name: joy, dtype: float64","6974   NaN
Name: negative, dtype: float64","6974   NaN
Name: positive, dtype: float64","6974   NaN
Name: sadness, dtype: float64","6974   NaN
Name: surprise, dtype: float64","6974   NaN
Name: trust, dtype: float64"
5,5,I heard that the underachieving John King of @CNN on Inside Politics was one hour of lies. Happily; few people are watching - dead network!,False,22978,,7/10/2016 18:58,False,,752215000000000000,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,6564,False,False,,,1,12.5,4.52,138,0,0,5,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.239,0.645,0.116,0.4152,"6973   NaN
Name: anger, dtype: float64","6973   NaN
Name: anticipation, dtype: float64","6973   NaN
Name: disgust, dtype: float64","6973   NaN
Name: fear, dtype: float64","6973   NaN
Name: joy, dtype: float64","6973   NaN
Name: negative, dtype: float64","6973   NaN
Name: positive, dtype: float64","6973   NaN
Name: sadness, dtype: float64","6973   NaN
Name: surprise, dtype: float64","6973   NaN
Name: trust, dtype: float64"
6,6,The media is so dishonest. If I make a statement; they twist it and turn it to make it sound bad or foolish.They think the public is stupid!,False,44600,,7/10/2016 18:42,False,,752211000000000000,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,14520,False,False,,,1,9.666666666666666,3.9285714285714284,139,0,0,2,0,0,0,0,0,0,0,0,0,4,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342,0.658,0.0,0.08250000000000002,"7794   NaN
Name: anger, dtype: float64","7794   NaN
Name: anticipation, dtype: float64","7794   NaN
Name: disgust, dtype: float64","7794   NaN
Name: fear, dtype: float64","7794   NaN
Name: joy, dtype: float64","7794   NaN
Name: negative, dtype: float64","7794   NaN
Name: positive, dtype: float64","7794   NaN
Name: sadness, dtype: float64","7794   NaN
Name: surprise, dtype: float64","7794   NaN
Name: trust, dtype: float64"
7,7,President Obama thinks the nation is not as divided as people think. He is living in a world of the make believe!,False,35167,,7/10/2016 18:27,False,,752208000000000000,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,11975,False,False,,,1,11.0,4.090909090909091,112,0,0,2,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,"8296   NaN
Name: anger, dtype: float64","8296   NaN
Name: anticipation, dtype: float64","8296   NaN
Name: disgust, dtype: float64","8296   NaN
Name: fear, dtype: float64","8296   NaN
Name: joy, dtype: float64","8296   NaN
Name: negative, dtype: float64","8296   NaN
Name: positive, dtype: float64","8296   NaN
Name: sadness, dtype: float64","8296   NaN
Name: surprise, dtype: float64","8296   NaN
Name: trust, dtype: float64"
8,8,Look what is happening to our country under the WEAK leadership of Obama and people like Crooked Hillary Clinton. We are a divided nation!,False,55495,,7/10/2016 12:02,False,,752111000000000000,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,19030,False,False,,,1,12.0,4.708333333333333,137,0,1,5,0,0,0,0,0,0,0,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.143,0.766,0.091,0.6547000000000001,"5784   NaN
Name: anger, dtype: float64","5784   NaN
Name: anticipation, dtype: float64","5784   NaN
Name: disgust, dtype: float64","5784   NaN
Name: fear, dtype: float64","5784   NaN
Name: joy, dtype: float64","5784   NaN
Name: negative, dtype: float64","5784   NaN
Name: positive, dtype: float64","5784   NaN
Name: sadness, dtype: float64","5784   NaN
Name: surprise, dtype: float64","5784   NaN
Name: trust, dtype: float64"
9,9,New poll - thank you! #Trump2016  https://t.co/Mi87Vmw06H https://t.co/WmqvcYG4r3,False,24040,,7/9/2016 21:22,False,,751889000000000000,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,9147,False,False,,,-1,2.5,8.75,80,0,0,1,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.682,0.318,1.4199,"9477    0
Name: anger, dtype: int64","9477    0
Name: anticipation, dtype: int64","9477    0
Name: disgust, dtype: int64","9477    0
Name: fear, dtype: int64","9477    0
Name: joy, dtype: int64","9477    0
Name: negative, dtype: int64","9477    0
Name: positive, dtype: int64","9477    0
Name: sadness, dtype: int64","9477    0
Name: surprise, dtype: int64","9477    1
Name: trust, dtype: int64"
